TICKET_ID,SERVICE_TYPE,SUBMIT_DATE,LAST_MODIFICATION_DATE,ASSIGNED_SUPPORT_COMPANY,REPORTED_DATE,REPORTED_SOURCE_ID,OPERATING_COMPANY_NAME,CONTACT_COMPANY_NAME,END_USER_COUNTRY,REQUIRED_RESOLUTION_DATE,ASSIGNED_AGENT,LAST_RESOLVED_DATE,CLOSED_DATE,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,OPERATIONAL_CATEGORIZATION_TIER_1,OPERATIONAL_CATEGORIZATION_TIER_2,OPERATIONAL_CATEGORIZATION_TIER_3,CLOSURE_CATEGORIZATION_TIER_1,CLOSURE_CATEGORIZATION_TIER_2,CLOSURE_CATEGORIZATION_TIER_3,VENDOR_GROUP,INF2_HPD_OUTAGE_DURATION,ADMIN_NUMBER,INSTANCEID
INC000001416919,User Service Restoration,2018-10-15 17:33:39,2019-07-18 19:35:55,Telefonica,2018-10-15 17:33:04,12001.0,Telefónica México (Pegaso),,Spain,2018-10-17 07:26:00,,2018-10-17 13:18:53,2018-10-21 02:00:01,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL LOOP,LL - DAMAGED CABLE - COPPER,,533.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26AP6N8EDP5Q87OX9MB
INC000001454307,User Service Restoration,2018-11-09 06:21:17,2019-07-18 19:35:55,Telefonica,2018-11-09 06:20:42,12001.0,Telefónica México (Pegaso),,Spain,,,2018-11-09 07:42:43,2018-11-09 07:42:43,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,XO Communications,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26AP7WXN7P6ZWIEWXC8
INC000001454513,User Service Restoration,2018-11-09 06:47:21,2019-07-18 19:35:55,Telefonica,2018-11-09 06:46:20,1000.0,Telefónica México (Pegaso),,Spain,2018-11-09 12:00:00,Lorena Rojas,2018-11-14 09:03:13,2018-11-18 02:00:25,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,WAN - PROVIDER,LOCAL LOOP,LL - NON-NOTIFIED SCHEDULED WORK,XO Communications,4.0,20100322-SITEMPLS-0000075945,AGGAA5V0F6IPYAP7WYUXP6ZY8MLC4Y
INC000001486508,User Service Restoration,2018-12-01 22:02:36,2019-07-18 19:35:55,Telefonica,2018-12-01 22:02:01,12001.0,Telefónica México (Pegaso),,Spain,2018-12-01 22:05:30,,2018-12-03 10:09:10,2018-12-03 10:09:18,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,CUSTOMER,CUSTOMER PREMISE EQUIPMENT,CPE - POWER SUPPLY FAILURE,,2.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35AP9CVW2P8FSTKEYCN
INC000001493729,User Service Restoration,2018-12-06 16:51:59,2019-07-18 19:35:55,XO Communications,2018-12-06 16:41:12,14001.0,Telefonica,Telefónica México (Pegaso),Spain,2018-12-07 00:19:00,,2019-01-04 08:49:36,2019-01-07 19:40:16,NETWORK SERVICES,MPLS VPN,mWAN,Failure,Damage in Backup Line,Damage in Backup Line,Provider,Local Loop,Disappeared,XO Communications,1.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6IPYAP91Q07P84NED007R
INC000001493848,User Service Restoration,2018-12-06 16:13:35,2019-07-18 19:35:55,Telefonica,2018-12-06 16:12:59,12001.0,Telefónica México (Pegaso),,Spain,,,2018-12-06 18:52:50,2018-12-06 18:52:50,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35AP91PCNP84LNVCGT9
INC000001496420,User Service Restoration,2018-12-09 06:34:01,2019-07-18 19:35:55,Telefonica,2018-12-09 06:33:17,12001.0,Telefónica México (Pegaso),,Spain,,Javier Ciudad,2018-12-09 08:07:19,2018-12-09 08:07:19,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,AGGAA5V0F5WOOAP968IPP895C1TVKG
INC000001496639,User Service Restoration,2018-12-09 05:08:29,2019-07-18 19:35:55,Telefonica,2018-12-09 05:07:52,12001.0,Telefónica México (Pegaso),,Spain,,WUESCO04,2018-12-09 06:23:45,2018-12-09 06:23:45,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Wan Services,MWAN - Failure,Damage in Backup Line,NO DATA,NO DATA,NO DATA,ATLANTIX GLOBAL SYSTEMS,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F6F35AP9640FP890OH4KD9
INC000001589664,User Service Restoration,2019-02-18 11:37:55,2019-07-18 19:35:55,Telefonica,2019-02-18 11:33:44,12001.0,Telefónica México (Pegaso),,Spain,,Gilberto Garcia Gonzalez,2019-02-26 15:28:09,2019-02-26 15:28:22,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,RFO,OB Management connection,Customer,Improper Terminations,Improper termination through service modification,XO Communications,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5WOOAPNE345PMH0IBWRFG
INC000001634116,User Service Restoration,2019-03-19 10:01:12,2019-07-18 19:35:55,Telefonica,2019-03-19 10:00:35,12001.0,Telefónica México (Pegaso),,Spain,,Gilberto Mengana,2019-03-19 10:25:46,2019-03-19 10:25:46,NETWORK SERVICES,MPLS VPN,MPLS VPN Site,Failure,Damage in Main Line Working with Backup,Damage in Main Line Working with Backup,NO DATA,NO DATA,NO DATA,,0.0,20100322-SITEMPLS-0000075945,IDGAA5V0F5V26APOLY8APNOOKXREBB
